Places,Place
Mount Hakodate,"Hokkaido, Japan"
Odori Park,"Hokkaido, Japan"
Asahiyama Zoo,"Hokkaido, Japan"
Mt. Moiwa,"Hokkaido, Japan"
Farm Tomita,"Hokkaido, Japan"
Goryokaku Tower,"Hokkaido, Japan"
Susukino,"Hokkaido, Japan"
Nikka Whisky Yoichi Distillery,"Hokkaido, Japan"
Shirogane Blue Pond,"Hokkaido, Japan"
Otaru Canal,"Hokkaido, Japan"
Hokkaido University Sapporo Campus,"Hokkaido, Japan"
Sapporo Underground Pedestrian Space,"Hokkaido, Japan"
Sapporo Beer Museum,"Hokkaido, Japan"
Jigokudani,"Hokkaido, Japan"
Hokkaido Jingu,"Hokkaido, Japan"
Shiroi Koibito Park,"Hokkaido, Japan"
Niseko Tokyu Grand HIRAFU,"Hokkaido, Japan"
Goryokaku Park,"Hokkaido, Japan"
Historical Village of Hokkaido (Kaitaku-no Mura),"Hokkaido, Japan"
Mt. Okura Observatory,"Hokkaido, Japan"
Shiretoko Goko Lake,"Hokkaido, Japan"
Cape Kamui,"Hokkaido, Japan"
Sapporo JR Tower Observatory T38,"Hokkaido, Japan"
Hakodate Tram,"Hokkaido, Japan"
Mt. Asahidake,"Hokkaido, Japan"
Moerenuma Park,"Hokkaido, Japan"
Former Hokkaido Government Office Building,"Hokkaido, Japan"
Sapporo TV Tower,"Hokkaido, Japan"
Tanukikoji Shopping Street,"Hokkaido, Japan"
Shikisai no Oka,"Hokkaido, Japan"
Nakajima Park,"Hokkaido, Japan"
Hachimanzaka,"Hokkaido, Japan"
Mt.Hakodate Ropeway,"Hokkaido, Japan"
Soya Misaki,"Hokkaido, Japan"
Abashiri Prison Museum,"Hokkaido, Japan"
Clock Tower (Tokei-dai),"Hokkaido, Japan"
Lake Toya,"Hokkaido, Japan"
Lake Shikotsu,"Hokkaido, Japan"
Hakodate Morning Market,"Hokkaido, Japan"
Kokuei Takino Suzuran Hillside National Park,"Hokkaido, Japan"
Motomachi,"Hokkaido, Japan"
Maruyama Zoo,"Hokkaido, Japan"
Lake Mashu,"Hokkaido, Japan"
Sapporo Snow Festival,"Hokkaido, Japan"
Akan Lake,"Hokkaido, Japan"
Rusutsu Resort Ski,"Hokkaido, Japan"
Otaru  Aquarium,"Hokkaido, Japan"
Ningle Terrace,"Hokkaido, Japan"
Rebun Island,"Hokkaido, Japan"
Kiroro Snow World,"Hokkaido, Japan"
Trappistine Monasteries,"Hokkaido, Japan"
Oyunumagawa Natural Footbath,"Hokkaido, Japan"
The Old Public Hall of Hakodate Ward,"Hokkaido, Japan"
Kaminoko Pond,"Hokkaido, Japan"
Maruyama Park,"Hokkaido, Japan"
Sankaku Market,"Hokkaido, Japan"
Onuma Park Walking Path,"Hokkaido, Japan"
Taushubetsu River Bridge,"Hokkaido, Japan"
Hoheikyo Onsen,"Hokkaido, Japan"
Mount Usu Ropeway,"Hokkaido, Japan"
Hakodate Orthodox Church,"Hokkaido, Japan"
